Site,PollDate,DeviceId,DeviceName,DeviceType,Manufacturer,IPAddress,State,LastOnline
00103,05/14/2023 15:35:57,0101,Chef,Chef,,10.116.64.84,Online,05/14/2023 15:35:57
00103,05/14/2023 15:35:57,0201,PHU Main-1,PHU,,10.116.64.74,Online,05/14/2023 15:35:57
00103,05/14/2023 15:35:57,0202,PHU Main-2,PHU,,10.116.64.75,Online,05/14/2023 15:35:57
00103,05/14/2023 15:35:57,0203,PHU Spec-1,PHU,,10.116.64.85,Online,05/14/2023 15:35:57
00103,05/14/2023 15:35:57,0204,PHU Spec-2,PHU,,10.116.64.86,Online,05/14/2023 15:35:57
00103,05/14/2023 15:35:57,0301,Drive-Thru Director,DTD,,10.116.64.80,Online,05/14/2023 15:35:57
00103,05/14/2023 15:35:57,0401,Inside DMB-1,IDMB,Sicom,10.116.64.66,Online,05/14/2023 15:35:57
00103,05/14/2023 15:35:57,0402,Inside DMB-2,IDMB,Sicom,10.116.64.67,Online,05/14/2023 15:35:57
00103,05/14/2023 15:35:57,0403,Inside DMB-3,IDMB,Sicom,10.116.64.68,Online,05/14/2023 15:35:57
00103,05/14/2023 15:35:57,0404,Inside DMB-4,IDMB,Sicom,10.116.64.69,Online,05/14/2023 15:35:57
00103,05/14/2023 15:35:57,0901,Lane-1 Disp-1,ODMB,Stratacache,10.122.64.72,Online,05/14/2023 15:35:57
00103,05/14/2023 15:35:57,0902,OCU-1,OCU,Stratacache,10.122.64.73,Online,05/14/2023 15:35:57
00103,05/14/2023 15:35:57,0903,Lane-1 Disp-3,ODMB,Stratacache,10.122.64.74,Online,05/14/2023 15:35:57
00103,05/14/2023 14:37:03,1001,POS-1,POS,NCR,10.115.64.67,Online,05/14/2023 14:37:03
00103,05/14/2023 14:37:03,1002,POS-2,POS,NCR,10.115.64.68,Online,05/14/2023 14:37:03
00103,05/14/2023 14:37:03,1003,POS-3,POS,NCR,10.115.64.69,Online,05/14/2023 14:37:03
00103,05/14/2023 14:37:03,1004,POS-4,POS,NCR,10.115.64.70,Online,05/14/2023 14:37:03
00103,05/14/2023 14:37:03,1103,KC-3,KC,NCR,10.115.64.82,Online,05/14/2023 14:37:03
00103,05/14/2023 14:37:03,1104,KC-4,KC,NCR,10.115.64.83,Online,05/14/2023 14:37:03
00103,05/14/2023 14:37:03,1105,KC-5,KC,NCR,10.115.64.84,Online,05/14/2023 14:37:03
00103,05/14/2023 14:37:03,1106,KC-6,KC,NCR,10.115.64.85,Online,05/14/2023 14:37:03
00103,05/14/2023 14:37:03,1107,KC-7,KC,NCR,10.115.64.86,Online,05/14/2023 14:37:03
00103,05/14/2023 14:37:03,1201,VF-1,VF,Verifone,10.115.64.89,Online,05/14/2023 14:37:03
00103,05/14/2023 14:37:03,1202,VF-3,VF,Verifone,10.115.64.90,Online,05/14/2023 14:37:03
00103,05/14/2023 14:37:03,1203,VF-4,VF,Verifone,10.115.64.91,Online,05/14/2023 14:37:03
