Site,PollDate,DeviceId,DeviceName,DeviceType,Manufacturer,IPAddress,State,LastOnline
00102,05/14/2023 15:32:32,0101,Chef,Chef,,10.116.64.52,Online,05/14/2023 15:32:32
00102,05/14/2023 15:32:32,0201,PHU Main-1,PHU,,10.116.64.42,Online,05/14/2023 15:32:32
00102,05/14/2023 15:32:32,0202,PHU Main-2,PHU,,10.116.64.43,Online,05/14/2023 15:32:32
00102,05/14/2023 15:32:32,0203,PHU Spec-1,PHU,,10.116.64.53,Online,05/14/2023 15:32:32
00102,05/14/2023 15:32:32,0204,PHU Spec-2,PHU,,10.116.64.54,Online,05/14/2023 15:32:32
00102,05/14/2023 15:32:32,0301,Drive-Thru Director,DTD,,10.116.64.48,Online,05/14/2023 15:32:32
00102,05/14/2023 15:32:32,0401,Inside DMB-1,IDMB,Sicom,10.116.64.34,Online,05/14/2023 15:32:32
00102,05/14/2023 15:32:32,0402,Inside DMB-2,IDMB,Sicom,10.116.64.35,Online,05/14/2023 15:32:32
00102,05/14/2023 15:32:32,0403,Inside DMB-3,IDMB,Sicom,10.116.64.36,Online,05/14/2023 15:32:32
00102,05/14/2023 15:32:32,0404,Inside DMB-4,IDMB,Sicom,10.116.64.37,Online,05/14/2023 15:32:32
00102,05/14/2023 15:32:32,0901,Lane-1 Disp-1,ODMB,Stratacache,10.122.64.40,Online,05/14/2023 15:32:32
00102,05/14/2023 15:32:32,0902,OCU-1,OCU,Stratacache,10.122.64.41,Online,05/14/2023 15:32:32
00102,05/14/2023 15:32:32,0903,Lane-1 Disp-3,ODMB,Stratacache,10.122.64.42,Online,05/14/2023 15:32:32
00102,05/14/2023 14:33:49,1001,POS-1,POS,NCR,10.115.64.35,Online,05/14/2023 14:33:49
00102,05/14/2023 14:33:49,1002,POS-2,POS,NCR,10.115.64.36,Online,05/14/2023 14:33:49
00102,05/14/2023 14:33:49,1003,POS-3,POS,NCR,10.115.64.37,Online,05/14/2023 14:33:49
00102,05/14/2023 14:33:49,1004,POS-4,POS,NCR,10.115.64.38,Online,05/14/2023 14:33:49
00102,05/14/2023 14:33:49,1006,POS-6,POS,NCR,10.115.64.40,Online,05/14/2023 14:33:49
00102,05/14/2023 14:33:49,1103,KC-3,KC,NCR,10.115.64.50,Online,05/14/2023 14:33:49
00102,05/14/2023 14:33:49,1104,KC-4,KC,NCR,10.115.64.51,Online,05/14/2023 14:33:49
00102,05/14/2023 14:33:49,1105,KC-5,KC,NCR,10.115.64.52,Online,05/14/2023 14:33:49
00102,05/14/2023 14:33:49,1106,KC-6,KC,NCR,10.115.64.53,Online,05/14/2023 14:33:49
00102,05/14/2023 14:33:49,1107,KC-7,KC,NCR,10.115.64.54,Online,05/14/2023 14:33:49
00102,05/14/2023 14:33:49,1201,VF-1,VF,Verifone,10.115.64.59,Online,05/14/2023 14:33:49
00102,05/14/2023 14:33:49,1202,VF-3,VF,Verifone,10.115.64.58,Online,05/14/2023 14:33:49
00102,05/14/2023 14:33:49,1203,VF-4,VF,Verifone,10.115.64.57,Online,05/14/2023 14:33:49
00102,05/14/2023 14:33:49,1205,VF-6,VF,Verifone,10.115.64.61,Online,05/14/2023 14:33:49
