Site,PollDate,DeviceId,DeviceName,DeviceType,Manufacturer,IPAddress,State,LastOnline
00101,05/14/2023 15:35:54,0101,Chef,Chef,,10.116.64.20,Online,05/14/2023 15:35:54
00101,05/14/2023 15:35:54,0201,PHU Main-1,PHU,,10.116.64.10,Online,05/14/2023 15:35:54
00101,05/14/2023 15:35:54,0202,PHU Main-2,PHU,,10.116.64.11,Online,05/14/2023 15:35:54
00101,05/14/2023 15:35:54,0203,PHU Spec-1,PHU,,10.116.64.21,Online,05/14/2023 15:35:54
00101,05/14/2023 15:35:54,0204,PHU Spec-2,PHU,,10.116.64.22,Online,05/14/2023 15:35:54
00101,05/14/2023 15:35:54,0301,Drive-Thru Director,DTD,,10.116.64.16,Online,05/14/2023 15:35:54
00101,05/14/2023 15:35:54,0401,Inside DMB-1,IDMB,Sicom,10.116.64.2,Online,05/14/2023 15:35:54
00101,05/14/2023 15:35:54,0402,Inside DMB-2,IDMB,Sicom,10.116.64.3,Online,05/14/2023 15:35:54
00101,05/14/2023 15:35:54,0403,Inside DMB-3,IDMB,Sicom,10.116.64.4,Offline,05/02/2023 16:47:10
00101,05/14/2023 15:35:54,0404,Inside DMB-4,IDMB,Sicom,10.116.64.5,Online,05/14/2023 15:35:54
00101,05/14/2023 15:35:54,0901,Lane-1 Disp-1,ODMB,Stratacache,10.122.64.8,Offline,04/07/2023 15:36:50
00101,05/14/2023 15:35:54,0902,OCU-1,OCU,Stratacache,10.122.64.9,Offline,04/07/2023 15:36:50
00101,05/14/2023 15:35:54,0903,Lane-1 Disp-3,ODMB,Stratacache,10.122.64.10,Offline,04/07/2023 15:36:50
00101,05/14/2023 14:37:53,1001,POS-1,POS,NCR,10.115.64.3,Online,05/14/2023 14:37:53
00101,05/14/2023 14:37:53,1002,POS-2,POS,NCR,10.115.64.4,Online,05/14/2023 14:37:53
00101,05/14/2023 14:37:53,1003,POS-3,POS,NCR,10.115.64.5,Online,05/14/2023 14:37:53
00101,05/14/2023 14:37:53,1004,POS-4,POS,NCR,10.115.64.6,Online,05/14/2023 14:37:53
00101,05/14/2023 14:37:53,1103,KC-3,KC,NCR,10.115.64.18,Online,05/14/2023 14:37:53
00101,05/14/2023 14:37:53,1104,KC-4,KC,NCR,10.115.64.19,Online,05/14/2023 14:37:53
00101,05/14/2023 14:37:53,1105,KC-5,KC,NCR,10.115.64.20,Online,05/14/2023 14:37:53
00101,05/14/2023 14:37:53,1106,KC-6,KC,NCR,10.115.64.21,Online,05/14/2023 14:37:53
00101,05/14/2023 14:37:53,1107,KC-7,KC,NCR,10.115.64.22,Online,05/14/2023 14:37:53
00101,05/14/2023 14:37:53,1201,VF-1,VF,Verifone,10.115.64.25,Online,05/14/2023 14:37:53
00101,05/14/2023 14:37:53,1202,VF-3,VF,Verifone,10.115.64.26,Online,05/14/2023 14:37:53
00101,05/14/2023 14:37:53,1203,VF-4,VF,Verifone,10.115.64.27,Online,05/14/2023 14:37:53
