Site,PollDate,DeviceId,DeviceName,DeviceType,Manufacturer,IPAddress,State,LastOnline
00105,05/14/2023 15:35:46,0101,Chef,Chef,,10.116.64.148,Online,05/14/2023 15:35:46
00105,05/14/2023 15:35:46,0201,PHU Main-1,PHU,,10.116.64.138,Online,05/14/2023 15:35:46
00105,05/14/2023 15:35:46,0202,PHU Main-2,PHU,,10.116.64.139,Online,05/14/2023 15:35:46
00105,05/14/2023 15:35:46,0203,PHU Spec-1,PHU,,10.116.64.149,Online,05/14/2023 15:35:46
00105,05/14/2023 15:35:46,0204,PHU Spec-2,PHU,,10.116.64.150,Online,05/14/2023 15:35:46
00105,05/14/2023 15:35:46,0301,Drive-Thru Director,DTD,,10.116.64.144,Online,05/14/2023 15:35:46
00105,05/14/2023 15:35:46,0401,Inside DMB-1,IDMB,Sicom,10.116.64.130,Online,05/14/2023 15:35:46
00105,05/14/2023 15:35:46,0402,Inside DMB-2,IDMB,Sicom,10.116.64.131,Online,05/14/2023 15:35:46
00105,05/14/2023 15:35:46,0403,Inside DMB-3,IDMB,Sicom,10.116.64.132,Online,05/14/2023 15:35:46
00105,05/14/2023 15:35:46,0404,Inside DMB-4,IDMB,Sicom,10.116.64.133,Online,05/14/2023 15:35:46
00105,05/14/2023 15:35:46,0901,Lane-1 Disp-1,ODMB,Stratacache,10.122.64.136,Online,05/14/2023 15:35:46
00105,05/14/2023 15:35:46,0902,OCU-1,OCU,Stratacache,10.122.64.137,Online,05/14/2023 15:35:46
00105,05/14/2023 15:35:46,0903,Lane-1 Disp-3,ODMB,Stratacache,10.122.64.138,Online,05/14/2023 15:35:46
00105,05/14/2023 14:36:50,1001,POS-1,POS,NCR,10.115.64.131,Online,05/14/2023 14:36:50
00105,05/14/2023 14:36:50,1002,POS-2,POS,NCR,10.115.64.132,Online,05/14/2023 14:36:50
00105,05/14/2023 14:36:50,1003,POS-3,POS,NCR,10.115.64.133,Online,05/14/2023 14:36:50
00105,05/14/2023 14:36:50,1004,POS-4,POS,NCR,10.115.64.134,Online,05/14/2023 14:36:50
00105,05/14/2023 14:36:50,1006,POS-6,POS,NCR,10.115.64.136,Online,05/14/2023 14:36:50
00105,05/14/2023 14:36:50,1103,KC-3,KC,NCR,10.115.64.146,Online,05/14/2023 14:36:50
00105,05/14/2023 14:36:50,1104,KC-4,KC,NCR,10.115.64.147,Online,05/14/2023 14:36:50
00105,05/14/2023 14:36:50,1105,KC-5,KC,NCR,10.115.64.148,Online,05/14/2023 14:36:50
00105,05/14/2023 14:36:50,1106,KC-6,KC,NCR,10.115.64.149,Online,05/14/2023 14:36:50
00105,05/14/2023 14:36:50,1107,KC-7,KC,NCR,10.115.64.150,Online,05/14/2023 14:36:50
00105,05/14/2023 14:36:50,1201,VF-1,VF,Verifone,10.115.64.153,Offline,01/25/2023 15:37:58
00105,05/14/2023 14:36:50,1202,VF-3,VF,Verifone,10.115.64.154,Online,05/14/2023 14:36:50
00105,05/14/2023 14:36:50,1203,VF-4,VF,Verifone,10.115.64.155,Online,05/14/2023 14:36:50
00105,05/14/2023 14:36:50,1205,VF-6,VF,Verifone,10.115.64.157,Online,05/14/2023 14:36:50
